aMSa1,aMSa,curAxiH,samaGAwe
aMsa1,aMsa,curAxiH,samAGAwe
aki1,aki,curAxiH,lakRaNe
ak1,akaz,BvAxiH,kutilAyAM_gawO
ak2,akiz,BvAxiH,lakRaNe
akR1,akRUz,BvAxiH,vyApwO
akR1,akRUz,BvAxiH,safGAwe
ag1,agaz,BvAxiH,kutilAyAM_gawO
ag2,agiz,BvAxiH,gawO
aG1,aGiz,BvAxiH,gawyAkRepe
afka1,afka,curAxiH,paxe
afka1,afka,curAxiH,lakRaNe
afga1,afga,curAxiH,paxe
afga1,afga,curAxiH,lakRaNe
ac1,aciz,BvAxiH,gawO
aj1,ajaz,BvAxiH,kRepaNe
aj1,ajaz,BvAxiH,gawO
aj2,ajiz,curAxiH,BARArWe
aj2,ajiz,curAxiH,BAsArWe
at1,ataz,BvAxiH,gawO
at2,atiz,BvAxiH,gawO
aT1,aTaz,BvAxiH,gawO
aT2,aTiz,BvAxiH,gawO
ad1,adaz,BvAxiH,uxyamane
aN2,aNaz,xivAxiH,prANane
aN1,aNaz,BvAxiH,Sabxe
aw1,awaz,BvAxiH,sAwawyagamane
aw2,awiz,BvAxiH,banXane
awt1,awtaz,BvAxiH,awikramaNe
awt2,awtaz,curAxiH,anAxare
awt1,awtaz,BvAxiH,hiMsAyAm
ax2,axaz,axAxiH,BakRaNe
ax1,axiz,BvAxiH,banXane
axd1,axdaz,BvAxiH,aBiyoge
anu-ruX1,anu-ruXaz,xivAxiH,kAme
an1,anaz,axAxiH,prANane
anc1,ancuz,BvAxiH,gawO
anc1,ancuz,BvAxiH,pUjane
anc1,ancuz,BvAxiH,yAFcAyAm
anc2,ancuz,curAxiH,viSeRaNe
anj1,anjUz,ruXAxiH,kAnwO
anj1,anjUz,ruXAxiH,gawO
anj1,anjUz,ruXAxiH,mrakRaNe
anj1,anjUz,ruXAxiH,vyakwO
anXa1,anXa,curAxiH,xqRtyupaGAwe
ab1,abiz,BvAxiH,Sabxe
aBr1,aBraz,BvAxiH,gawO
am1,amaz,BvAxiH,gawO
am2,amaz,curAxiH,roge
ay1,ayaz,BvAxiH,gawO
ark1,arkaz,curAxiH,swavane
arc2,arcaz,curAxiH,pUjAyAm
arc1,arcaz,BvAxiH,pUjAyAm
arj1,arjaz,BvAxiH,arjane
arj2,arjaz,curAxiH,prawiyawne
arWa1,arWa,curAxiH,upayAFcAyAm
arx1,arxaz,BvAxiH,gawO
arx1,arxaz,BvAxiH,yAFcAyAm
arx2,arxaz,curAxiH,hiMsAyAm
arb1,arbaz,BvAxiH,gawO
arv1,arvaz,BvAxiH,hiMsAyAm
arh2,arhaz,curAxiH,pUjAyAm
arh1,arhaz,BvAxiH,pUjAyAm
al1,alaz,BvAxiH,paryApwO
al1,alaz,BvAxiH,BURAyAm
al1,alaz,BvAxiH,vAraNe
av1,avaz,BvAxiH,avagamane
av1,avaz,BvAxiH,avApwO
av1,avaz,BvAxiH,Alifgane
av1,avaz,BvAxiH,icCAyAm
av1,avaz,BvAxiH,kAnwO
av1,avaz,BvAxiH,kriyAyAm
av1,avaz,BvAxiH,gawO
av1,avaz,BvAxiH,wqpwO
av1,avaz,BvAxiH,xAne
av1,avaz,BvAxiH,xIpwO
av1,avaz,BvAxiH,praveSane
